time,x,y,z,vx,vy,vz
1774469324.2900712,59.137608892076614,0.04478561407675484,70.0,2.1798054141284773,-2.1101380782773504,0.0
1774469324.340249,59.13923404118694,0.044776889698435456,70.0,2.114596338852933,-2.1143438265784447,0.0
1774469324.3898528,59.14085863289541,0.04477681274312931,70.0,2.04940902387795,-2.1188941355748048,0.0
1774469324.4398084,59.142608867617426,0.04444597231780341,70.0,1.9788373411792093,-2.109271044719427,0.0
1774469324.4898849,59.14435372837639,0.044122443572627984,70.0,1.9084792840495584,-2.09993920074823,0.0
1774469324.5400295,59.14569416769862,0.044216899315042316,70.0,1.8553989084965783,-2.1084672365016566,0.0
1774469324.5898094,59.14702451093379,0.04431859594670741,70.0,1.80272041813637,-2.1172838233194144,0.0
1774469324.6397808,59.14846258477394,0.04354979922284276,70.0,1.7453989133610854,-2.0888419148659576,0.0
1774469324.689817,59.14988774305165,0.04278668991904804,70.0,1.688591598580283,-2.060626410077687,0.0
1774469324.73983,59.15130673992593,0.042500995545753935,70.0,1.6320052282705777,-2.052815433695788,0.0
1774469324.7899487,59.15270999399634,0.04222252116299558,70.0,1.5760456963448857,-2.0452920635313694,0.0
1774469324.8401196,59.15388617122617,0.041483715267417925,70.0,1.5297500804311155,-2.018054908958905,0.0
1774469324.889797,59.155044134206705,0.040751845240073914,70.0,1.4841798412347786,-1.9910939071677713,0.0
1774469324.9398346,59.156527768741306,0.04049264785246433,70.0,1.4246214815995388,-1.9843312501666763,0.0
1774469324.9900618,59.15799182710464,0.04024168552437229,70.0,1.3658426694907595,-1.9778966490995116,0.0
1774469325.0399168,59.15956970177833,0.03999639369003069,70.0,1.3021334855657285,-1.9716810287449038,0.0
1774469325.0897965,59.161125777509184,0.03975890486589369,70.0,1.2392923806346718,-1.9657762543125807,0.0
1774469325.139783,59.16265298386254,0.03919260847504602,70.0,1.1776183111189416,-1.9457828352944992,0.0
1774469325.189835,59.16415609651816,0.038633657870505426,70.0,1.1169037625119025,-1.9260819508115663,0.0
1774469325.2398372,59.16494606434371,0.03721950717637373,70.0,1.0866232748669518,-1.8697730897872853,0.0
1774469325.2898667,59.16570998993319,0.03581327837014761,70.0,1.0573801576371504,-1.8137794670452103,0.0
1774469325.339838,59.1665956896887,0.035154416375201704,70.0,1.0228518651204332,-1.7897293084259283,0.0
1774469325.3898234,59.16745606010322,0.034506871676699795,70.0,0.9893325105857274,-1.766129889937264,0.0
1774469325.4398086,59.168558004777694,0.03373166086661856,70.0,0.9454044244831414,-1.7370347361358487,0.0
1774469325.4897478,59.1696349448891,0.03296826724519774,70.0,0.9024722719697846,-1.7084102045963123,0.0
1774469325.5398996,59.17122134659132,0.03200589614717288,70.0,0.8376710030246941,-1.6712372650915857,0.0
1774469325.5897896,59.17122134659132,0.03200589614717288,70.0,0.8376710030246941,-1.6712372650915857,0.0
1774469325.6398218,59.172782352940544,0.03105615647123816,70.0,0.773881094241856,-1.6345673331801525,0.0
1774469325.6898503,59.17472883051618,0.03058366452497715,70.0,0.6935227515885736,-1.6182745109060264,0.0
1774469325.7398486,59.17664798800647,0.03012519900277389,70.0,0.6142523477208985,-1.602540419465371,0.0
1774469325.7898564,59.177798226408115,0.029693494860961657,70.0,0.567790836626697,-1.58791039888333,0.0
1774469325.839911,59.178918156985986,0.029275441185017834,70.0,0.5225365349666463,-1.5738241415751377,0.0
1774469325.889789,59.18040672142981,0.028594647221741896,70.0,0.46142271145372504,-1.5484583876023945,0.0
1774469325.9398267,59.18186498845603,0.027927016968571347,70.0,0.4015155821559848,-1.523616929793156,0.0
1774469325.990107,59.18290276622204,-1.4319627756914977,60.0,0.3595056835552474,-3.1256379002624204,0.0
1774469326.0400193,59.183909077487414,-2.8929943768717243,60.0,0.3187491891201839,-4.682177779656864,0.0
1774469326.0899086,59.18465644679957,-4.356640162381868,70.0,0.288978036983361,-6.130235891621789,0.0
1774469326.1399267,59.18537276353482,-5.8214178830775785,70.0,0.2604438814470074,-7.533205230027532,0.0
1774469326.1898685,59.18608216394389,-6.799288997088562,70.0,0.23211609426368635,-8.418536927147617,0.0
1774469326.2400947,59.186761821947925,-7.777886312265032,70.0,0.2049731135440956,-9.274941297114543,0.0
1774469326.2902,59.18761772852367,-8.27032033002532,70.0,0.17020455241503193,-9.580718986577468,0.0
1774469326.3399131,59.188445179925125,-8.763078981363078,70.0,0.13656946749854937,-9.873564680183385,0.0
1774469326.3900852,59.189388435829855,-9.25561938338152,70.0,0.09789737079857772,-10.176682136863471,0.0
1774469326.4398108,59.19030388754674,-9.748470283332523,70.0,0.06033278681459056,-10.467430773724837,0.0
1774469326.4900205,59.19072304241305,-9.754799308034446,70.0,0.043918063401599566,-10.221672209985025,0.0
1774469326.540163,59.191114615668646,-9.761040995101904,70.0,0.028602137593736903,-9.979391676690916,0.0
1774469326.5900376,59.19113025433562,-9.767925114380688,70.0,0.029290300241553564,-9.709356799357792,0.0
1774469326.6398633,59.19112019060836,-9.77471349014141,70.0,0.031002505935668626,-9.443134694138225,0.0
1774469326.6899698,59.19135505910103,-9.781405933591213,70.0,0.022165533995767057,-9.180719109739703,0.0
1774469326.7400837,59.19156723525035,-9.787993291838024,70.0,0.014232612833959445,-8.922488542469226,0.0
1774469326.7899694,59.191824972066414,-9.794472688582793,70.0,0.0042867612949533335,-8.668554169120142,0.0
1774469326.839804,59.192061948368334,-9.800839295277436,70.0,-0.004832015284587904,-8.419111848715925,0.0
1774469326.8898213,59.19167229072549,-9.807146545711793,70.0,0.012797805108250924,-8.171866102764325,0.0
1774469326.9399526,59.19126343345908,-9.813334821976643,70.0,0.03119270060099213,-7.929358844221061,0.0
1774469326.9899783,59.19077811096315,-9.81892933171081,70.0,0.052807753221221325,-7.711893788863344,0.0
1774469327.0397828,59.19027709562741,-9.824399837490756,70.0,0.07504819054743653,-7.499367822786077,0.0
1774469327.0900097,59.18962170045766,-9.830079171387492,70.0,0.1038521354984929,-7.277538930705626,0.0
1774469327.1399865,59.18895401016071,-9.835632360451907,70.0,0.13314614238740585,-7.0607343950993116,0.0
1774469327.1898587,59.18807283640582,-9.841121898891874,70.0,0.17154236221456992,-6.846277055632868,0.0
1774469327.2400455,59.1871829108731,-9.846483041327962,70.0,0.21028753523640376,-6.636933814746084,0.0
